93.25,90.75,91.5,4077500,-1631000.0000000000,-1631000.0000000000,-1631000.0000000000,-1631000.0000000000,0.00000000000
94.94,91.405,94.815,4955900,4605412.0226308300,2974412.0226308300,671706.0113154170,-793652.3595216670,1465358.37083708000
96.375,94.25,94.375,4775300,-4213500.0000000000,-1239087.9773691700,-283690.9830268740,-874640.6536757570,590949.67064888300
96.19,93.5,95.095,4155300,772360.5947955400,-466727.3825736260,-375209.1828002500,-800474.6043844610,425265.42158421000
96,92.815,93.78,4593100,-1809840.0313971700,-2276567.4139707900,-1325888.2983855200,-1068855.1152183400,-257033.18316718200
94.72,93.5,94.625,3631300,3065769.6721311500,789202.2581603610,-268343.0201125800,-731026.5018767570,462683.48176417700
95,92,92.53,3382800,-2187544.0000000000,-1398341.7418396400,-833342.3809761080,-852356.5455063720,19014.16453026330
93.72,89.75,92.75,4954200,2533255.9193954700,1134914.1775558300,150785.8982898620,-491034.5958586980,641820.49414856000
92.47,89.44,90.315,4500000,-1900990.0990099000,-766075.9214540700,-307645.0115821040,-541042.1096033110,233397.09802120700
92.75,90.625,92.47,3397500,2502158.8235294100,1736082.9020753400,714218.9452466170,-127019.3802071930,841238.32545381000
96.25,92.75,96.125,4204500,3904178.5714285700,5640261.4735039100,3177240.2093752600,921577.1386493710,2255663.07072589000
99.625,96.315,97.25,6321400,-2750095.4682779400,2890166.0052259700,3033703.1073006200,1279502.3871178400,1754200.72018277000
99.125,96.03,98.5,10203600,6082598.3844911100,8972764.3897170800,6003233.7485088500,2678277.2966813400,3324956.45182751000
92.75,88.815,89.875,19043900,-8783908.1321473800,188856.2575697040,3096045.0030392800,2225655.2895701300,870389.71346914300
91.315,86.75,91,11692000,10078427.1631983000,10267283.4207680000,6681664.2119036200,3687769.4952424700,2993894.71666115000
93.25,90.94,92.815,9553300,5955303.8961038800,16222587.3168718000,11452125.7643877000,5966827.2809932600,5485298.48339447000
93.405,88.905,89.155,8920300,-7929155.5555555600,8293431.7613162900,9872778.7628520100,6389846.2774156300,3482932.48543638000
90.655,88.78,89.345,5970900,-2372437.6000000100,5920994.1613162700,7896886.4620841400,6304600.4381248400,1592286.02395930000
91.97,89.25,91.625,5062300,3778113.6029411800,9699107.7642574600,8797997.1131708000,6921783.5883307700,1876213.52484003000
92.25,89.75,89.875,3705600,-3335040.0000000000,6364067.7642574600,7581032.4387141300,6820380.7112265300,760651.72748759800
90.345,87.5,88.375,5865600,-2257585.9402460400,4106481.8240114100,5843757.1313627700,6326944.5499146900,-483187.41855192100
88.5,86.53,87.625,5603000,625715.7360406060,4732197.5600520200,5287977.3457073900,6036990.5517578400,-749013.20605044600
88.25,84.625,84.78,5811900,-5314882.3448275800,-582684.7847755650,2352646.2804659100,4833413.2178426700,-2480766.93737676000
85.5,82.28,83,8483800,-4689802.4844720500,-5272487.2692476200,-1459920.4943908500,2995976.7656444400,-4455897.26003529000
84.44,81.565,83.5,5995200,2074860.5217391400,-3197626.7475084800,-2328773.6209496700,1869867.0359802700,-4198640.65692994000
84.75,80.875,81.375,5408800,-4012980.6451612900,-7210607.3926697700,-4769690.5068097200,218871.6853166280,-4988562.19212635000
84.44,81.25,84.44,5430500,5430500.0000000000,-1780107.3926697700,-3274898.9497397400,-144579.0561354450,-3130319.89360430000
89.405,84.065,89.25,6283800,5919010.1123595500,4138902.7196897800,432001.8849750160,634235.8121964140,-202233.92722139800
88.125,85.595,86.375,5834800,-2237057.7075098800,1901845.0121799000,1166923.4485774600,864710.2121934110,302213.23638404600
89.125,85.97,86.25,4515500,-3714016.6402535600,-1812171.6280736600,-322624.0897481030,378004.4230539430,-700628.51280204600
87.155,84.405,85.25,4493300,-1731962.9090909100,-3544134.5371645800,-1933379.3134563400,-335111.7515312420,-1598267.56192510000
87.25,85.095,87.125,4346100,3841912.0649652000,297777.5278006210,-817800.8928278590,-220040.9734709040,-597759.91935695600
87.375,85.5,85.815,3700300,-2456999.2000000100,-2159221.6721993900,-1488511.2825136200,-572619.2823306280,-915892.00018299500
88.97,85.53,88.97,4600200,4600200.0000000000,2440978.3278006100,476233.5226434950,-24692.4441249478,500925.96676844200
90,87.875,88.47,4557200,-2005168.0000000000,435810.3278006080,456021.9252220510,59035.3325887895,396986.59263326200
89.845,86.565,86.875,4323600,-3506334.1463414600,-3070523.8185408500,-1307250.9466594000,-509975.4221620540,-797275.52449734600
86.97,84.655,86.815,5237500,4536150.1079913500,1465626.2894505000,79187.6713955520,-150775.1109597710,229962.78235532300
85.94,83.25,84.875,7404100,1541373.9776951700,3007000.2671456800,1543093.9692706200,423365.8668775840,1119728.10239303000
84.75,82.565,84.19,4798400,2338808.2379862600,5345808.5051319400,3444451.2372012800,1318355.4374692800,2126095.79973199000
85.47,83.44,83.875,4372800,-2498742.8571428500,2847065.6479890900,3145758.4425951900,1596302.7484728900,1549455.69412230000
84.47,82.53,83.375,3872300,-499007.7319587630,2348057.9160303300,2746908.1793127600,1732985.5062106000,1013922.67310215000
88.5,85.065,85.5,10750800,-8027889.9563318700,-5679832.0403015400,-1466461.9304943900,385200.4977538500,-1851662.42824824000
89.47,86.875,89.19,5804800,4552126.3969171400,-1127705.6433843900,-1297083.7869393900,110126.6539105330,-1407210.44084993000
90,88.53,89.44,3785500,901309.5238095100,-226396.1195748840,-761739.9532571380,48940.6950950027,-810680.64835214100
92.44,89.28,91.095,5014800,745872.1518987330,519476.0323238490,-121131.9604666450,134492.5745911570,-255624.53505780100
91.44,90.125,90.75,3507700,-173384.4106463820,346091.6216774670,112479.8306054110,172965.1286068490,-60485.29800143820
92.97,90.75,91.44,4298800,-1626572.9729729800,-1280481.3512955100,-584000.7603450510,-91297.8677390349,-492702.89260601600
91.72,89,89,4842500,-4842500.0000000000,-6122981.3512955100,-3353491.0558202800,-1187967.5920220300,-2165523.46379825000
91.155,88.565,91,3952200,3479156.7567567500,-2643824.5945387600,-2998657.8251795200,-1452668.8652068900,-1545988.95997263000
91.75,90.095,90.5,3304700,-1687293.9577039200,-4331118.5522426800,-3664888.1887111000,-1976023.3537588500,-1688864.83495225000
90,89,89.03,3462000,-3254279.9999999900,-7585398.5522426800,-5625143.3704768900,-2995909.7534831800,-2629233.61699370000
88.875,86.47,88.815,7253900,6891959.0436590300,-693439.5085836460,-3159291.4395302700,-2577278.7998650900,-582012.63966518100
89,84,84.28,9753100,-8660752.8000000000,-9354192.3085836400,-6256741.8740569500,-3809444.8923593700,-2447296.98169759000
85.25,83.315,83.5,5953000,-4814700.2583979200,-14168892.5669816000,-10212817.2205193000,-5692980.8331997700,-4519836.38731949000
83.815,82,82.69,5011700,-1201151.2396694300,-15370043.8066510000,-12791430.5135851000,-7452446.8283727200,-5338983.68521241000
85.25,83.25,84.75,5910800,2955400.0000000000,-12414643.8066510000,-12603037.1601181000,-8354664.4607869500,-4248372.69933111000
86.625,84.75,85.655,4916900,-170452.5333333270,-12585096.3399843000,-12594066.7500512000,-9123833.8933682900,-3470232.85668290000
87.94,85.28,86.19,4135000,-1305789.4736842200,-13890885.8136685000,-13242476.2818599000,-9990570.6061501500,-3251905.67570971000
89.375,87.19,88.94,4054200,2439941.8764302000,-11450943.9372383000,-12346710.1095491000,-10256093.0299844000,-2090617.07956474000
90.625,88.44,89.28,3735300,-863307.3226544540,-12314251.2598928000,-12330480.6847209000,-10630303.6172404000,-1700177.06748050000
90.75,88.25,88.625,2921900,-2045330.0000000000,-14359581.2598928000,-13345030.9723069000,-11308354.0977227000,-2036676.87458418000
88.845,87.345,88.5,2658400,1435536.0000000000,-12924045.2598928000,-13134538.1160998000,-11602116.1272082000,-1532421.98889167000
91.97,89.28,91.97,4624400,4624400.0000000000,-8299645.2598927900,-10717091.6879963000,-11001666.8786054000,284575.19060905500
93.375,91.095,91.5,4372200,-2818918.4210526300,-11118563.6809454000,-10917827.6844709000,-11022920.8426672000,105093.15819633000
93.815,89.53,93.25,5831600,4293745.1575262600,-6824818.5234191600,-8871323.1039450100,-10259629.5118948000,1388306.40794981000
94.03,91.155,93.5,4268600,2694785.7391304300,-4130032.7842887200,-6500677.9441168700,-9145157.3796028000,2644479.43548594000
94.03,92,93.155,3059200,421958.6206896570,-3708074.1635990700,-5104376.0538579700,-8156596.7948748500,3052220.74101688000
91.815,90.53,91.72,4495500,3830795.7198443600,122721.5562452970,-2490827.2488063400,-6651266.1855802800,4160438.93677394000
92,89.97,90,3425000,-3323768.4729064000,-3201046.9166611000,-2845937.0827337200,-6023953.5912313400,3178016.50849762000
91.94,88.815,89.69,3630800,-1597552.0000000000,-4798598.9166611000,-3822267.9996974100,-5801161.8322185700,1978893.83252116000
89.75,86.75,88.875,4168100,1736708.3333333300,-3061890.5833277700,-3442079.2915125900,-5303112.5142384200,1861033.22272583000
88.75,85.065,85.19,5966900,-5562089.9592944400,-8623980.5426222100,-6033029.9170674000,-5906906.7012172900,-126123.21585010800
86.155,82.03,83.375,7692800,-2676161.9393939400,-11300142.4820162000,-8666586.1995417800,-6887495.0249989000,-1779091.17454287000
84.875,81.5,84.875,7362500,7362500.0000000000,-3937642.4820161500,-6302114.3407789600,-6351158.1990020400,49043.85822307500
85.94,82.565,85.94,6581300,6581300.0000000000,2643657.5179838500,-1829228.4113975600,-4715737.1595500600,2886508.74815250000
99.375,96.345,97.25,19587700,-7886796.6996699600,-5243139.1816861100,-3536183.7965418300,-4811628.4363020700,1275444.63976023000
103.28,96.47,99.875,10378600,0.0000000000,-5243139.1816861100,-4389661.4891139700,-4890084.9354628000,500423.44634883100
105.375,101.155,104.94,9334700,7410247.6303317400,2167108.4486456300,-1111276.5202341700,-3606958.8656249100,2495682.34539074000
107.625,104.25,106,10467200,387674.0740740740,2554782.5227197100,721753.0012427690,-2486642.2495622500,3208395.25080502000
105.25,101.75,102.5,5671400,-3240800.0000000000,-686017.4772802920,17867.7619812386,-2159255.9273291600,2177123.68931040000
104.5,101.72,102.405,5645000,-2863111.5107913600,-3549128.9880716500,-1765630.6130452100,-2411960.1201914300,646329.50714622800
