89,84,84.28,5,84,0.28,6.185,16.63,39.51,18.245,37.255,80.285,39.15536899429310
85.25,83.315,83.5,1.935,83.315,0.185,5.68,16.38,39.195,17.96,37.16,78.345,37.81305299590960
83.815,82,82.69,1.815,82,0.69,6.37,16.225,36.695,17.055,37.035,76.97,40.67046298850880
85.25,83.25,84.75,2.56,82.69,2.06,5.995,16.16,33.57,17.025,34.47,74.19,39.98043809941760
86.625,84.75,85.655,1.875,84.75,0.905,6.495,13.375,33.695,17.245,32.375,72.41,39.97306765445600
87.94,85.28,86.19,2.66,85.28,0.91,7.375,13.375,34.325,18.405,33.565,71.915,41.10122898878220
89.375,87.19,88.94,3.185,86.19,2.75,7.78,14.31,36.23,19.03,33.59,72.35,42.68731650183060
90.625,88.44,89.28,2.185,88.44,0.84,8.34,14.525,35.04,16.215,34.46,72.38,48.34960455477150
90.75,88.25,88.625,2.5,88.25,0.375,8.53,14.21,35.1,16.78,34.74,73.005,47.60341706754480
88.845,87.345,88.5,1.5,87.345,1.155,8.995,15.365,32.815,16.465,33.52,71.065,50.91096987450390
91.97,89.28,91.97,3.47,88.5,3.47,10.405,16.4,35.69,17.375,34.4,72.41,54.88245397480710
93.375,91.095,91.5,2.28,91.095,0.405,9.905,16.4,35.785,17.78,35.025,71.41,52.37058135927470
93.815,89.53,93.25,4.285,89.53,3.72,12.715,20.09,37.345,19.405,37.81,73.38,59.89402776993320
94.03,91.155,93.5,2.875,91.155,2.345,12.31,20.09,38.065,19.095,38.125,72.69,59.37498979934060
94.03,92,93.155,2.03,92,1.155,12.625,20.965,37.595,18.94,35.155,72.41,62.54612692640610
91.815,90.53,91.72,2.625,90.53,1.19,13.44,21.97,38.35,19.065,35.845,73.005,65.29952633397410
92,89.97,90,2.03,89.97,0.03,12.315,21.31,37.535,19.595,36.06,73.095,60.13336355244010
91.94,88.815,89.69,3.125,88.815,0.875,9.72,20.125,36.285,19.25,36.625,71.095,51.84414018483830
89.75,86.75,88.875,3,86.75,2.125,11.44,21.345,34.72,19.97,37.75,70.125,55.96305639162210
88.75,85.065,85.19,3.81,85.065,0.125,7.845,20.56,33.935,19.495,38.9,72.465,44.78582780082290
86.155,82.03,83.375,4.125,82.03,1.345,6.845,19.155,33.465,20.745,39.84,73.43,39.10246644749990
84.875,81.5,84.875,3.375,81.5,3.375,9.065,21.69,36.215,22.09,41.03,75.49,45.40677580612800
85.94,82.565,85.94,3.375,82.565,3.375,11.25,24.69,38.9,22.84,41.905,76.645,52.23060110183650
99.375,96.345,97.25,13.435,85.94,11.31,22.53,34.845,50.21,34.245,53.84,87.36,64.29662872527520
103.28,96.47,99.875,6.81,96.47,3.405,25.06,34.78,51.18,37.93,57.18,91.58,63.11611283939440
105.375,101.155,104.94,5.5,99.875,5.065,28,39.44,55.84,40.43,60.4,95.425,66.59074284569150
107.625,104.25,106,3.375,104.25,1.75,29.625,37.47,57.56,39.995,59.49,97.3,68.77357612833400
105.25,101.75,102.5,4.25,101.75,0.75,29.03,35.875,55.965,40.12,60.865,98.99,66.26450855888600
104.5,101.72,102.405,2.78,101.72,0.685,26.34,35.405,56.37,39.525,61.615,96.77,62.82004332234370
105.5,101.72,104.595,3.78,101.72,2.875,25.84,37.09,59.06,39.93,62.77,98.615,62.41713360003770
106.125,103.155,106.125,2.97,103.155,2.97,17.5,40.03,61.34,29.465,63.71,99.77,60.67350953412850
107.94,105.69,106,2.25,105.69,0.31,14.405,39.465,59.59,24.905,62.835,99.46,59.55534329788550
106.25,103.655,106.065,2.595,103.655,2.41,11.75,39.75,61.095,22,62.43,100.18,57.42345913815500
107,104,104.625,3,104,0.625,10.625,40.25,60.81,21.625,61.62,100.52,55.38094549929650
108.75,105.53,108.625,4.125,104.625,4,13.875,42.905,62.06,21.5,61.62,101.46,65.50903315139580
110.94,108.53,109.315,2.41,108.53,0.785,13.975,40.315,62.005,21.13,60.655,101.685,65.49463635726500
110.94,108.75,110.5,2.19,108.75,1.75,12.85,38.69,63.38,19.54,59.47,101.375,65.09807481007000
114.22,107.75,112.75,6.47,107.75,5,14.88,32.38,67.225,23.04,52.505,106.345,63.55543356867360
123,117,123,10.25,112.75,10.25,24.82,39.225,74.005,31.04,55.945,113.125,75.07016486062250
121.75,118,119.625,5,118,1.625,24.035,35.785,75.225,33.445,55.445,115.845,68.78225709194310
119.815,116,118.75,3.815,116,2.75,26.16,36.785,74.255,34.26,55.885,115.375,71.63344450865230
120.315,118.5,119.25,1.815,118.5,0.75,22.91,36.785,72.66,31.95,53.45,114.315,69.71814718816640
119.375,116.53,117.94,2.845,116.53,1.41,23.535,37.51,72.915,32.385,53.515,115.13,70.60112620863890
118.19,116.25,116.44,1.94,116.25,0.19,21.975,34.825,71.915,32.135,51.675,114.445,67.30804100532310
116.69,114.595,115.19,2.095,114.595,0.595,17.57,32.45,72.48,27.76,50.8,114.51,63.46024519400360
115.345,110.875,111.875,4.47,110.875,1,8.32,33.14,72.605,21.98,53.02,115.855,48.44123668257990
113,110.5,110.595,2.5,110.5,0.095,6.79,30.825,70.575,19.48,52.925,115.355,45.29876388597800
118.315,110.72,118.125,7.72,110.595,7.53,11.57,37.73,77.98,23.385,57.645,119.265,56.31330343682230
116.87,112.62,116,5.505,112.62,3.38,14.2,37.11,80.015,27.075,59.025,120.645,57.40766261565100
116.75,114.19,116,2.56,114.19,1.81,14.6,38.135,78.45,26.79,59.175,119.83,58.90691754899160
113.87,111.19,112,4.81,111.19,0.81,15.22,37.195,75.885,29.66,61.795,121.265,55.45990603512690
114.62,109.44,113.75,5.18,109.44,4.31,18.935,36.505,68.885,32.745,60.505,113.01,58.98928358632990
115.31,111.56,112.94,3.75,111.56,1.38,19.315,27.635,66.86,32.025,54.005,109.95,57.77155125010380
116,112.44,116,3.56,112.44,3.56,22.78,29.57,65.355,33.085,52.565,108.01,64.06120390612170
121.69,117.5,120.5,5.69,116,4.5,19.75,31.32,68.105,31.055,54.44,110.325,61.59729712793620
119.87,116.06,116.62,4.44,116.06,0.56,16.93,31.13,67.915,29.99,57.065,110.515,56.62363614207230
120.87,116.56,117,4.31,116.56,0.44,15.56,30.16,67.67,31.74,58.53,112.045,51.36384218535380
116.75,113.31,115.25,3.69,113.31,1.94,16.69,31.91,66.735,30.62,60.28,111.955,54.78697128433980
116.5,112.56,114.31,3.94,112.56,1.75,14.13,33.065,65.515,29.38,62.125,112.925,50.97697549462420
116,114,115.5,2,114,1.5,14.25,33.565,66.705,27.63,59.655,112.675,54.00416118026840
118.31,114.75,115.87,3.56,114.75,1.12,11.81,34.59,65.415,27.63,60.715,113.64,48.92558947580060
121.5,118.87,120.69,5.63,115.87,4.82,12.13,31.88,69.61,27.57,58.625,116.27,49.23096068824670
122,119,120.19,3,119,1.19,12.76,29.69,66.8,26.13,56.12,115.145,51.30768950766040
121.44,119.75,120.75,1.69,119.75,1,13.32,28.88,67.015,23.51,55.25,114.425,55.67667149295490
125.75,122.62,124.75,5,120.75,4,15.38,32.07,69.265,24.82,55.44,117.235,60.37706447843140
127.75,123,123.37,4.75,123,0.37,14,28.13,64.635,25.63,55.01,115.515,53.81714839451550
124.19,121.75,122.94,2.44,121.75,1.19,13.69,27.94,55.575,26.07,53.7,107.705,52.24410455175420
124.44,121.56,122.56,2.88,121.56,1,13.57,25.38,54.95,25.39,53.02,105.585,51.65225566334870
125.75,123.12,123.12,3.19,122.56,0.56,9.31,21.44,52.76,22.95,50.52,104.96,42.48711997512320
124.69,122.19,122.56,2.5,122.19,0.37,8.49,21.25,52.38,22.45,48.58,105.645,41.19074195674470
125.31,122.75,124.62,2.75,122.56,2.06,9.55,22.87,53.03,23.51,47.02,105.55,44.28619930722810
132,124.37,129.25,7.63,124.37,4.88,10.43,25.81,57.72,26.14,50.96,111.24,44.68358369840900
131.31,128,131,3.31,128,3,13.06,27.06,60.125,24.7,50.33,112.455,53.21344378644660
132.25,129.5,132.25,2.75,129.5,2.75,14.62,28.31,61.875,25.01,51.08,110.735,57.22126343309780
133.88,130.81,131,3.07,130.81,0.19,13.81,27.38,61.97,25.2,50.59,111.305,54.73213293917320
133.5,130.63,132.81,2.87,130.63,2.18,15.43,24.74,56.62,24.88,47.83,106.455,57.81532140595070
135.5,132.13,134,3.37,132.13,1.87,16.93,25.42,55.11,25.75,48.2,104.32,60.18504387266940
137.44,133.88,137.38,3.56,133.88,3.5,18.37,27.92,56.8,26.56,50.07,105.32,63.15876720272090
138.69,135.38,137.81,3.31,135.38,2.43,15.92,26.35,58.42,22.24,48.38,103.82,64.50438757168210
139.19,135.75,137.88,3.44,135.75,2.13,15.05,28.11,56.24,22.37,47.07,102.08,63.37765611833870
138.5,136.19,137.25,2.31,136.19,1.06,13.36,27.98,55.92,21.93,46.94,100.64,59.78069412762370
138.13,134.5,136.31,3.63,134.5,1.81,14.98,28.79,54.17,22.49,47.69,100.71,62.99367556028500
137.5,135.38,136.25,2.12,135.38,0.87,13.67,29.1,50.54,21.74,46.62,97.14,61.19786642072960
138.88,133.69,134.63,5.19,133.69,0.94,12.74,29.67,50.92,23.56,49.31,97.89,55.52244056727010
132.13,126.06,128.25,8.57,126.06,2.19,11.43,29.8,52.67,28.57,55.13,102.15,45.67107696840840
129.75,126.87,129,2.88,126.87,2.13,11.13,27.05,52.86,28.14,50.38,101.34,45.39341139337740
128.5,123.5,123.87,5.5,123.5,0.37,9.37,24.42,51.48,30.2,52.57,102.9,38.14854475444190
125.44,122.62,124.81,2.82,122.62,2.19,10.5,23.86,52.17,30.71,52.64,103.72,39.67366376263410
125.12,122.75,123,2.37,122.75,0.25,8.94,23.92,51.3,29.45,51.94,102.53,37.65236554762520
126.5,123.56,126.25,3.5,123,3.25,11.32,24.99,49.73,30.83,52.57,100.4,41.63929144003440
