93.25,90.75,NaN
94.94,91.405,NaN
96.375,94.25,NaN
96.19,93.5,NaN
96,92.815,NaN
94.72,93.5,NaN
95,92,NaN
93.72,89.75,NaN
92.47,89.44,NaN
92.75,90.625,NaN
96.25,92.75,NaN
99.625,96.315,NaN
99.125,96.03,NaN
92.75,88.815,NaN
91.315,86.75,NaN
93.25,90.94,NaN
93.405,88.905,NaN
90.655,88.78,NaN
91.97,89.25,NaN
92.25,89.75,0.9401568590471170
90.345,87.5,0.9471811552404370
88.5,86.53,0.9526486511378510
88.25,84.625,0.9594395234433260
85.5,82.28,0.9684901755431890
84.44,81.565,0.9745456460684540
84.75,80.875,0.9823609526746270
84.44,81.25,0.9842318414143900
89.405,84.065,0.9793319838629490
88.125,85.595,0.9788482705359360
89.125,85.97,0.9800972276693750
87.155,84.405,0.9785845616077360
87.25,85.095,0.9693167394743250
87.375,85.5,0.9470228533431190
88.97,85.53,0.9453838549547040
90,87.875,0.9517592162172850
89.845,86.565,0.9433392348270420
86.97,84.655,0.9478926222765860
85.94,83.25,0.9475923828106470
84.75,82.565,0.9381448555694890
85.47,83.44,0.9153603780858040
84.47,82.53,0.9037133253874650
88.5,85.065,0.9044272330533300
89.47,86.875,0.9144567231385610
90,88.53,0.9140422416270490
92.44,89.28,0.9240907021037240
91.44,90.125,0.9245714706598480
92.97,90.75,0.9301864925512240
91.72,89,0.9685637131517730
91.155,88.565,0.9699713144403260
91.75,90.095,0.9722430818693880
90,89,0.9659537966306980
88.875,86.47,0.9653083079242570
89,84,0.9421810188742970
85.25,83.315,0.9488679626820190
83.815,82,0.9540546636443100
85.25,83.25,0.9585657829863180
86.625,84.75,0.9580677494166530
87.94,85.28,0.9563189205945780
89.375,87.19,0.9522216783457150
90.625,88.44,0.9499605370495780
90.75,88.25,0.9433582538169970
88.845,87.345,0.9448506810540480
91.97,89.28,0.9467581283005850
93.375,91.095,0.9540541884980060
93.815,89.53,0.9451938775561860
94.03,91.155,0.9527747257400080
94.03,92,0.9545845363155470
91.815,90.53,0.9518140900144220
92,89.97,0.9526969023077840
